time_s,position_cm,theta_raw_cm
0.857,22.2625,2.1125
0.858,22.4,2.1
0.859,22.5375,2.0875
0.86,22.6625,2.0625
0.861,22.8,2.05
0.862,22.925,2.0375
0.863,23.0625,2.025
0.864,23.1875,2.0125
0.865,23.325,2.025
0.866,23.4625,2.0125
0.867,23.5875,1.9875
0.868,23.7125,1.9625
0.869,23.8375,1.9625
0.87,23.975,1.95
0.871,24.1,1.9375
0.872,24.225,1.9375
0.873,24.35,1.925
0.874,24.475,1.9125
0.875,24.6125,1.9
0.876,24.7375,1.8875
0.877,24.8625,1.8875
0.878,24.975,1.8625
0.879,25.1,1.85
0.88,25.225,1.85
0.881,25.35,1.85
0.882,25.475,1.85
0.883,25.5875,1.825
0.884,25.7125,1.825
0.885,25.825,1.8125
0.886,25.9375,1.7875
0.887,26.0625,1.8
0.888,26.175,1.7875
0.889,26.2875,1.775
0.89,26.4,1.7625
0.891,26.5125,1.7625
0.892,26.6125,1.7375
0.893,26.725,1.725
0.894,26.8375,1.725
0.895,26.95,1.725
0.896,27.05,1.7125
0.897,27.15,1.7
0.898,27.25,1.6875
0.899,27.3625,1.6875
0.9,27.4625,1.675
0.901,27.5625,1.675
0.902,27.6625,1.6625
0.903,27.75,1.6375
0.904,27.85,1.6375
0.905,27.95,1.6375
0.906,28.0375,1.625
0.907,28.1375,1.6375
0.908,28.225,1.6125
0.909,28.3125,1.6
0.91,28.4,1.6
0.911,28.4875,1.6
0.912,28.5625,1.575
0.913,28.65,1.575
0.914,28.725,1.5625
0.915,28.8125,1.575
0.916,28.8875,1.5625
0.917,28.9625,1.5375
0.918,29.0375,1.5375
0.919,29.1125,1.5375
0.92,29.1875,1.525
0.921,29.25,1.5125
0.922,29.325,1.5125
0.923,29.3875,1.5125
0.924,29.4625,1.5125
0.925,29.525,1.5
0.926,29.5875,1.5
0.927,29.65,1.4875
0.928,29.7125,1.4875
0.929,29.7625,1.475
0.93,29.825,1.475
0.931,29.875,1.4625
0.932,29.925,1.4625
0.933,29.975,1.4625
0.934,30.025,1.45
0.935,30.075,1.45
0.936,30.1125,1.4375
0.937,30.1625,1.4375
0.938,30.2,1.4375
0.939,30.2375,1.425
0.94,30.275,1.425
0.941,30.3125,1.425
0.942,30.35,1.4125
0.943,30.3875,1.4125
0.944,30.4125,1.4125
0.945,30.45,1.4125
0.946,30.475,1.4125
0.947,30.5,0.05
0.948,30.525,1.4125
0.949,30.55,0.0375
0.95,30.5625,0.0375
0.951,30.5875,0.0375
0.952,30.6,0.0375
0.953,30.6125,0.0375
0.954,30.625,0.0375
0.955,30.6375,0.0375
0.956,30.65,0.0375
0.957,30.6625,0.0375
0.958,30.6625,0.0375
0.959,30.6625,0.0375
0.96,30.675,0.0625
0.961,30.675,0.0625
0.962,30.675,0.0625
0.963,30.6625,0.05
0.964,30.6625,0.0375
0.965,30.6625,0.05
0.966,30.65,0.0375
0.967,30.6375,0.05
0.968,30.625,0.05
0.969,30.6125,0.05
0.97,30.6,0.05
0.971,30.5875,0.05
0.972,30.575,0.05
0.973,30.55,0.0375
0.974,30.5375,0.0375
0.975,30.5125,0.05
0.976,30.4875,0.0375
0.977,30.4625,0.0375
0.978,30.4375,0.0375
0.979,30.4,0.0375
0.98,30.375,0.0375
0.981,30.3375,0.0375
0.982,30.3125,0.05
0.983,30.275,1.4125
0.984,30.2375,1.4125
0.985,30.2,1.4125
0.986,30.1625,1.4125
0.987,30.1125,1.4125
0.988,30.075,1.4125
0.989,30.025,1.4125
0.99,29.9875,1.425
0.991,29.9375,1.4375
0.992,29.8875,1.425
0.993,29.8375,1.4375
0.994,29.7875,1.4375
0.995,29.7375,1.4375
0.996,29.675,1.4375
0.997,29.625,1.45
0.998,29.5625,1.45
0.999,29.5125,1.4625
1.0,29.4375,1.45
1.001,29.3875,1.4625
1.002,29.325,1.475
1.003,29.2625,1.475
1.004,29.1875,1.475
1.005,29.125,1.4875
1.006,29.05,1.4875
1.007,28.9875,1.5
1.008,28.9125,1.4875
1.009,28.8375,1.4875
1.01,28.7625,1.5
1.011,28.6875,1.5
1.012,28.6125,1.5125
1.013,28.5375,1.5125
1.014,28.45,1.5125
1.015,28.375,1.525
1.016,28.2875,1.525
1.017,28.2125,1.5375
1.018,28.125,1.5375
1.019,28.0375,1.5375
1.02,27.95,1.55
1.021,27.8625,1.55
1.022,27.7875,1.5625
1.023,27.7,1.5875
1.024,27.6,1.5875
1.025,27.5125,1.5875
1.026,27.4125,1.5875
1.027,27.325,1.5875
1.028,27.225,1.5875
1.029,27.1375,1.6
1.03,27.0375,1.6
1.031,26.95,1.6125
1.032,26.85,1.625
1.033,26.75,1.625
1.034,26.65,1.625
1.035,26.55,1.625
1.036,26.45,1.6375
1.037,26.35,1.6375
1.038,26.25,1.65
1.039,26.1375,1.65
1.04,26.0375,1.6625
1.041,25.925,1.6625
1.042,25.825,1.6625
1.043,25.7125,1.65
1.044,25.6125,1.675
1.045,25.5,1.675
1.046,25.4,1.6875
1.047,25.2875,1.6875
1.048,25.1875,1.7125
1.049,25.075,1.7125
1.05,24.9625,1.7125
1.051,24.85,1.7125
1.052,24.7375,1.7125
1.053,24.6375,1.7375
1.054,24.5125,1.7375
1.055,24.4,1.7375
1.056,24.2875,1.7375
1.057,24.175,1.75
1.058,24.0625,1.7625
1.059,23.95,1.7625
1.06,23.8375,1.775
1.061,23.725,1.775
1.062,23.6,1.775
1.063,23.4875,1.775
1.064,23.375,1.7875
1.065,23.2625,1.8125
