time_s,position_cm,theta_raw_cm
0.522,25.9625,1.0125
0.523,25.8625,1.0125
0.524,25.7625,1.0125
0.525,25.6625,1.025
0.526,25.5625,1.025
0.527,25.45,1.025
0.528,25.35,1.025
0.529,25.2375,1.025
0.53,25.1375,1.05
0.531,25.025,1.05
0.532,24.925,1.05
0.533,24.8125,1.05
0.534,24.7125,1.075
0.535,24.6,1.0625
0.536,24.4875,1.075
0.537,24.375,1.075
0.538,24.2625,1.0875
0.539,24.1625,1.1
0.54,24.05,1.1
0.541,23.9375,1.1
0.542,23.825,1.1125
0.543,23.7125,1.1125
0.544,23.6,1.125
0.545,23.4875,1.1375
0.546,23.375,1.1375
0.547,23.2375,1.125
0.548,23.125,1.1375
0.549,23.0125,1.125
0.55,22.85,1.1
0.551,22.7125,1.0875
0.552,22.65,1.15
0.553,22.5375,1.15
0.554,22.4625,1.2125
0.555,22.35,1.225
0.556,22.225,1.225
0.557,22.1125,1.225
0.558,22.0,1.2375
0.559,21.8875,1.25
0.56,21.7625,1.25
0.561,21.65,1.2625
0.562,21.5375,1.2875
0.563,21.425,1.2875
0.564,21.3,1.3
0.565,21.1875,1.3
0.566,21.075,1.3125
0.567,20.9625,1.325
0.568,20.85,1.3375
0.569,20.7375,1.35
0.57,20.6125,1.35
0.571,20.5,1.3875
0.572,20.3875,1.4
0.573,20.275,1.4
0.574,20.1625,1.4125
0.575,20.05,1.425
0.576,19.9375,1.425
0.577,19.825,1.4375
0.578,19.7125,1.45
0.579,19.4625,1.325
0.58,19.4875,1.4875
0.581,19.375,1.5
0.582,19.2625,1.4875
0.583,19.15,1.5
0.584,19.05,1.525
0.585,18.9375,1.525
0.586,18.8375,1.55
0.587,18.725,1.55
0.588,18.6125,1.575
0.589,18.5,1.575
0.59,18.4,1.5875
0.591,18.3,1.6
0.592,18.1875,1.6
0.593,18.0875,1.6125
0.594,17.9875,1.6375
0.595,17.8875,1.6375
0.596,17.7875,1.6625
0.597,17.675,1.6625
0.598,17.575,1.675
0.599,17.475,1.6875
0.6,17.3875,1.7
0.601,17.2875,1.7125
0.602,17.1875,1.7125
0.603,17.0875,1.725
0.604,17.0,1.75
0.605,16.9,1.7625
0.606,16.8,1.775
0.607,16.7125,1.775
0.608,16.625,1.7875
0.609,16.525,1.7875
0.61,16.45,1.8125
0.611,16.35,1.8125
0.612,16.275,1.85
0.613,16.1875,1.875
0.614,16.1,1.8875
0.615,16.0125,1.875
0.616,15.9375,1.8875
0.617,15.85,1.9
0.618,15.775,1.9125
0.619,15.6875,1.925
0.62,15.6125,1.9375
0.621,15.5375,1.9625
0.622,15.45,1.9875
0.623,15.3875,1.9875
0.624,15.3125,2.0
0.625,15.2375,2.0125
0.626,15.1625,2.025
0.627,15.0875,2.0375
0.628,15.0125,2.0375
0.629,14.95,2.0625
0.63,14.8875,2.1
0.631,14.8125,2.1
0.632,14.75,2.0875
0.633,14.6875,2.1
0.634,14.625,2.1125
0.635,14.5625,2.125
0.636,14.5,2.1375
0.637,14.4375,2.1625
0.638,14.375,2.2
0.639,14.325,2.225
0.64,14.2625,2.1875
0.641,14.2125,2.2
0.642,14.15,2.2
0.643,14.1,2.2375
0.644,14.05,2.25
0.645,14.0,2.2625
0.646,13.95,2.2875
0.647,13.9,2.3
0.648,13.85,2.2875
0.649,13.8,2.3
0.65,13.75,2.3
0.651,13.7125,2.325
0.652,13.675,2.325
0.653,13.625,2.3375
0.654,13.5875,2.35
0.655,13.55,2.375
0.656,13.5125,2.3875
0.657,13.475,2.375
0.658,13.4375,2.375
0.659,13.4,2.3875
0.66,13.3625,2.3875
0.661,13.3375,2.4125
0.662,13.3,2.4
0.663,13.275,2.425
0.664,13.2375,2.425
0.665,13.2125,2.425
0.666,13.1875,2.4375
0.667,13.1625,2.4375
0.668,13.1375,2.45
0.669,13.1125,2.45
0.67,13.0875,2.4625
0.671,13.0625,2.4625
0.672,13.0375,2.475
0.673,13.025,2.475
0.674,13.0,2.4625
0.675,12.9875,2.475
0.676,12.975,2.4875
0.677,12.9625,2.4875
0.678,12.9375,2.4875
0.679,12.925,2.4875
0.68,12.925,2.5125
0.681,12.9125,2.5125
0.682,12.9,2.5
0.683,12.8875,2.5
0.684,12.8875,2.5125
0.685,12.875,2.5125
0.686,12.875,2.525
0.687,12.8625,2.5125
0.688,12.8625,2.525
0.689,12.8625,2.5375
